Time,Observed rainfall - 01/08/2022 00:00,Urban net rain mm (Observed rainfall - 01/08/2022) - urbanised model,Rural net rain mm (Observed rainfall - 01/08/2022) - urbanised model,Sewer loss m3/s (Observed rainfall - 01/08/2022) - urbanised model,Total net rain mm (Observed rainfall - 01/08/2022) - urbanised model,Direct runoff m3/s (Observed rainfall - 01/08/2022) - urbanised model,Baseflow m3/s (Observed rainfall - 01/08/2022) - urbanised model,Total flow m3/s (Observed rainfall - 01/08/2022)- urbanised model
01/08/2022 00:00,0.034491399,0.002522547,0.003341943,0,0.00586449,0.0,0.147322084,0.147322084
01/08/2022 00:01,0.034988266,0.002559267,0.003392521,0,0.005951788,6.38e-06,0.147273078,0.147279459
01/08/2022 00:02,0.03549321,0.002596594,0.003443987,0,0.006040581,2.56e-05,0.147224097,0.147249713
01/08/2022 00:03,0.036006385,0.002634541,0.00349636,0,0.006130901,5.79e-05,0.14717515,0.147233047
01/08/2022 00:04,0.036527946,0.002673118,0.003549659,0,0.006222778,0.000103418,0.147126244,0.147229663
01/08/2022 00:05,0.037058053,0.00271234,0.003603905,0,0.006316244,0.000162376,0.14707739,0.147239766
01/08/2022 00:06,0.037596869,0.002752217,0.003659116,0,0.006411333,0.00023497,0.147028597,0.147263567
01/08/2022 00:07,0.038144561,0.002792763,0.003715314,0,0.006508077,0.000321405,0.146979873,0.147301278
01/08/2022 00:08,0.0387013,0.002833991,0.00377252,0,0.006606511,0.000421889,0.146931227,0.147353116
01/08/2022 00:09,0.03926726,0.002875915,0.003830755,0,0.00670667,0.000536631,0.14688267,0.147419302
01/08/2022 00:10,0.039842622,0.002918549,0.003890042,0,0.006808591,0.000665848,0.146834211,0.147500059
01/08/2022 00:11,0.040427567,0.002961906,0.003950404,0,0.00691231,0.000809756,0.14678586,0.147595616
01/08/2022 00:12,0.041022283,0.003006002,0.004011864,0,0.007017866,0.000968579,0.146737626,0.147706206
01/08/2022 00:13,0.041626962,0.003146494,0.004074446,0,0.00722094,0.001142542,0.14668952,0.147832063
01/08/2022 00:14,0.042241801,0.003226094,0.004138175,0,0.007364268,0.001332015,0.146641552,0.147973567
01/08/2022 00:15,0.042867,0.003274528,0.004203076,0,0.007477604,0.001537418,0.146593733,0.148131151
01/08/2022 00:16,0.043502765,0.0033238,0.004269176,0,0.007592976,0.001759043,0.146546072,0.148305115
01/08/2022 00:17,0.044149307,0.003373928,0.004336501,0,0.007710429,0.001997138,0.146498582,0.14849572
01/08/2022 00:18,0.044806843,0.003424927,0.004405079,0,0.007830006,0.002251955,0.146451274,0.148703229
01/08/2022 00:19,0.045475593,0.003476818,0.004474938,0,0.007951756,0.002523752,0.146404158,0.14892791
01/08/2022 00:20,0.046155784,0.003529618,0.004546107,0,0.008075725,0.002812791,0.146357246,0.149170038
01/08/2022 00:21,0.046847649,0.003583346,0.004618616,0,0.008201963,0.003119339,0.146310551,0.14942989
01/08/2022 00:22,0.047551426,0.003638023,0.004692496,0,0.008330519,0.003443667,0.146264083,0.14970775
01/08/2022 00:23,0.048267359,0.003693667,0.004767779,0,0.008461446,0.003786052,0.146217855,0.150003907
01/08/2022 00:24,0.048995697,0.003750301,0.004844497,0,0.008594797,0.004146775,0.146171879,0.150318654
01/08/2022 00:25,0.049736699,0.003807944,0.004922682,0,0.008730626,0.004526123,0.146126168,0.150652291
01/08/2022 00:26,0.050490626,0.003866619,0.005002371,0,0.00886899,0.004924387,0.146080734,0.151005121
01/08/2022 00:27,0.051257749,0.003926348,0.005083598,0,0.009009946,0.005341866,0.14603559,0.151377455
01/08/2022 00:28,0.052038345,0.003987153,0.005166399,0,0.009153553,0.005778861,0.145990749,0.151769609
01/08/2022 00:29,0.052832697,0.004049059,0.005250813,0,0.009299872,0.006235681,0.145946224,0.152181905
01/08/2022 00:30,0.053641098,0.00411209,0.005336877,0,0.009448967,0.006712641,0.145902029,0.15261467
01/08/2022 00:31,0.054463846,0.004176269,0.005424632,0,0.009600901,0.00721006,0.145858177,0.153068237
01/08/2022 00:32,0.055301249,0.004241624,0.005514118,0,0.009755742,0.007728264,0.145814683,0.153542948
01/08/2022 00:33,0.056153621,0.004308179,0.005605377,0,0.009913556,0.008267587,0.14577156,0.154039147
01/08/2022 00:34,0.057021288,0.004375963,0.005698453,0,0.010074416,0.008828365,0.145728824,0.154557189
01/08/2022 00:35,0.05790458,0.004445002,0.005793391,0,0.010238393,0.009410945,0.145686487,0.155097432
01/08/2022 00:36,0.058803841,0.004515325,0.005890237,0,0.010405562,0.010015677,0.145644566,0.155660243
01/08/2022 00:37,0.05971942,0.004586961,0.005989038,0,0.010575999,0.010642921,0.145603075,0.156245996
01/08/2022 00:38,0.060651679,0.004659941,0.006089844,0,0.010749785,0.01129304,0.14556203,0.15685507
01/08/2022 00:39,0.061600989,0.004734295,0.006192704,0,0.010926999,0.011966409,0.145521446,0.157487854
01/08/2022 00:40,0.06256773,0.004810056,0.006297672,0,0.011107728,0.012663406,0.145481339,0.158144744
01/08/2022 00:41,0.063552296,0.004887256,0.0064048,0,0.011292056,0.013384417,0.145441725,0.158826142
01/08/2022 00:42,0.064555088,0.004965929,0.006514145,0,0.011480074,0.014129839,0.145402621,0.15953246
01/08/2022 00:43,0.065576522,0.005046109,0.006625764,0,0.011671874,0.014900073,0.145364043,0.160264115
01/08/2022 00:44,0.066617025,0.005127834,0.006739716,0,0.01186755,0.015695529,0.145326008,0.161021537
01/08/2022 00:45,0.067677036,0.005211139,0.006856062,0,0.012067201,0.016516627,0.145288533,0.16180516
01/08/2022 00:46,0.068757007,0.005296063,0.006974865,0,0.012270928,0.017363792,0.145251636,0.162615429
01/08/2022 00:47,0.069857404,0.005382645,0.007096191,0,0.012478836,0.018237461,0.145215335,0.163452797
01/08/2022 00:48,0.070978707,0.005470925,0.007220107,0,0.012691032,0.019138078,0.145179648,0.164317726
01/08/2022 00:49,0.072121409,0.005560946,0.007346683,0,0.012907628,0.020066096,0.145144593,0.165210689
01/08/2022 00:50,0.07328602,0.005652749,0.00747599,0,0.01312874,0.021021978,0.145110189,0.166132167
