Cluster,Dur_bins,Variable,Mean,Duration,Profile_shape,Cluster_id
1,0.083333333,crain,0.056832644,[19:25 - Inf) hr,B2,1-D
1,0.041666667,prain,0.056832644,[19:25 - Inf) hr,B2,1-D
1,0.041666667,irain,0.681991728,[19:25 - Inf) hr,B2,1-D
1,0.166666667,crain,0.120427709,[19:25 - Inf) hr,B2,1-D
1,0.125,prain,0.063595065,[19:25 - Inf) hr,B2,1-D
1,0.125,irain,0.763140784,[19:25 - Inf) hr,B2,1-D
1,0.25,crain,0.200702581,[19:25 - Inf) hr,B2,1-D
1,0.208333333,prain,0.080274872,[19:25 - Inf) hr,B2,1-D
1,0.208333333,irain,0.963298461,[19:25 - Inf) hr,B2,1-D
1,0.333333333,crain,0.275297507,[19:25 - Inf) hr,B2,1-D
1,0.291666667,prain,0.074594926,[19:25 - Inf) hr,B2,1-D
1,0.291666667,irain,0.895139113,[19:25 - Inf) hr,B2,1-D
1,0.416666667,crain,0.350482683,[19:25 - Inf) hr,B2,1-D
1,0.375,prain,0.075185176,[19:25 - Inf) hr,B2,1-D
1,0.375,irain,0.902222114,[19:25 - Inf) hr,B2,1-D
1,0.5,crain,0.422998156,[19:25 - Inf) hr,B2,1-D
1,0.458333333,prain,0.072515473,[19:25 - Inf) hr,B2,1-D
1,0.458333333,irain,0.870185672,[19:25 - Inf) hr,B2,1-D
1,0.583333333,crain,0.482406057,[19:25 - Inf) hr,B2,1-D
1,0.541666667,prain,0.059407901,[19:25 - Inf) hr,B2,1-D
1,0.541666667,irain,0.712894812,[19:25 - Inf) hr,B2,1-D
1,0.666666667,crain,0.53944617,[19:25 - Inf) hr,B2,1-D
1,0.625,prain,0.057040113,[19:25 - Inf) hr,B2,1-D
1,0.625,irain,0.684481352,[19:25 - Inf) hr,B2,1-D
1,0.75,crain,0.620532391,[19:25 - Inf) hr,B2,1-D
1,0.708333333,prain,0.081086221,[19:25 - Inf) hr,B2,1-D
1,0.708333333,irain,0.973034655,[19:25 - Inf) hr,B2,1-D
1,0.833333333,crain,0.733474921,[19:25 - Inf) hr,B2,1-D
1,0.791666667,prain,0.11294253,[19:25 - Inf) hr,B2,1-D
1,0.791666667,irain,1.355310364,[19:25 - Inf) hr,B2,1-D
1,0.916666667,crain,0.881540032,[19:25 - Inf) hr,B2,1-D
1,0.875,prain,0.148065111,[19:25 - Inf) hr,B2,1-D
1,0.875,irain,1.776781328,[19:25 - Inf) hr,B2,1-D
1,1,crain,1,[19:25 - Inf) hr,B2,1-D
1,0.958333333,prain,0.118459968,[19:25 - Inf) hr,B2,1-D
1,0.958333333,irain,1.421519617,[19:25 - Inf) hr,B2,1-D
2,0.083333333,crain,0.065504841,[19:25 - Inf) hr,C,2-D
2,0.041666667,prain,0.065504841,[19:25 - Inf) hr,C,2-D
2,0.041666667,irain,0.786058095,[19:25 - Inf) hr,C,2-D
2,0.166666667,crain,0.146612524,[19:25 - Inf) hr,C,2-D
2,0.125,prain,0.081107683,[19:25 - Inf) hr,C,2-D
2,0.125,irain,0.973292194,[19:25 - Inf) hr,C,2-D
2,0.25,crain,0.233445856,[19:25 - Inf) hr,C,2-D
2,0.208333333,prain,0.086833332,[19:25 - Inf) hr,C,2-D
2,0.208333333,irain,1.04199998,[19:25 - Inf) hr,C,2-D
2,0.333333333,crain,0.332931431,[19:25 - Inf) hr,C,2-D
2,0.291666667,prain,0.099485576,[19:25 - Inf) hr,C,2-D
2,0.291666667,irain,1.193826908,[19:25 - Inf) hr,C,2-D
2,0.416666667,crain,0.462069861,[19:25 - Inf) hr,C,2-D
2,0.375,prain,0.12913843,[19:25 - Inf) hr,C,2-D
2,0.375,irain,1.549661155,[19:25 - Inf) hr,C,2-D
2,0.5,crain,0.647086136,[19:25 - Inf) hr,C,2-D
2,0.458333333,prain,0.185016275,[19:25 - Inf) hr,C,2-D
2,0.458333333,irain,2.220195295,[19:25 - Inf) hr,C,2-D
2,0.583333333,crain,0.790279507,[19:25 - Inf) hr,C,2-D
2,0.541666667,prain,0.143193372,[19:25 - Inf) hr,C,2-D
2,0.541666667,irain,1.718320459,[19:25 - Inf) hr,C,2-D
2,0.666666667,crain,0.866605714,[19:25 - Inf) hr,C,2-D
2,0.625,prain,0.076326207,[19:25 - Inf) hr,C,2-D
2,0.625,irain,0.915914478,[19:25 - Inf) hr,C,2-D
2,0.75,crain,0.905262813,[19:25 - Inf) hr,C,2-D
2,0.708333333,prain,0.038657099,[19:25 - Inf) hr,C,2-D
2,0.708333333,irain,0.463885186,[19:25 - Inf) hr,C,2-D
2,0.833333333,crain,0.937447604,[19:25 - Inf) hr,C,2-D
2,0.791666667,prain,0.032184791,[19:25 - Inf) hr,C,2-D
2,0.791666667,irain,0.386217497,[19:25 - Inf) hr,C,2-D
2,0.916666667,crain,0.97267615,[19:25 - Inf) hr,C,2-D
2,0.875,prain,0.035228546,[19:25 - Inf) hr,C,2-D
2,0.875,irain,0.422742552,[19:25 - Inf) hr,C,2-D
2,1,crain,1,[19:25 - Inf) hr,C,2-D
2,0.958333333,prain,0.02732385,[19:25 - Inf) hr,C,2-D
2,0.958333333,irain,0.327886201,[19:25 - Inf) hr,C,2-D
3,0.083333333,crain,0.072713219,[19:25 - Inf) hr,F1,3-D
3,0.041666667,prain,0.072713219,[19:25 - Inf) hr,F1,3-D
3,0.041666667,irain,0.872558623,[19:25 - Inf) hr,F1,3-D
3,0.166666667,crain,0.189470449,[19:25 - Inf) hr,F1,3-D
3,0.125,prain,0.11675723,[19:25 - Inf) hr,F1,3-D
3,0.125,irain,1.401086759,[19:25 - Inf) hr,F1,3-D
3,0.25,crain,0.374057074,[19:25 - Inf) hr,F1,3-D
3,0.208333333,prain,0.184586625,[19:25 - Inf) hr,F1,3-D
3,0.208333333,irain,2.215039502,[19:25 - Inf) hr,F1,3-D
3,0.333333333,crain,0.574726189,[19:25 - Inf) hr,F1,3-D
3,0.291666667,prain,0.200669115,[19:25 - Inf) hr,F1,3-D
3,0.291666667,irain,2.40802938,[19:25 - Inf) hr,F1,3-D
3,0.416666667,crain,0.704235537,[19:25 - Inf) hr,F1,3-D
3,0.375,prain,0.129509348,[19:25 - Inf) hr,F1,3-D
3,0.375,irain,1.554112179,[19:25 - Inf) hr,F1,3-D
3,0.5,crain,0.776371888,[19:25 - Inf) hr,F1,3-D
3,0.458333333,prain,0.072136351,[19:25 - Inf) hr,F1,3-D
3,0.458333333,irain,0.865636214,[19:25 - Inf) hr,F1,3-D
3,0.583333333,crain,0.830123342,[19:25 - Inf) hr,F1,3-D
3,0.541666667,prain,0.053751454,[19:25 - Inf) hr,F1,3-D
3,0.541666667,irain,0.645017451,[19:25 - Inf) hr,F1,3-D
3,0.666666667,crain,0.869335962,[19:25 - Inf) hr,F1,3-D
3,0.625,prain,0.039212619,[19:25 - Inf) hr,F1,3-D
3,0.625,irain,0.470551434,[19:25 - Inf) hr,F1,3-D
3,0.75,crain,0.906797843,[19:25 - Inf) hr,F1,3-D
3,0.708333333,prain,0.037461881,[19:25 - Inf) hr,F1,3-D
3,0.708333333,irain,0.449542577,[19:25 - Inf) hr,F1,3-D
3,0.833333333,crain,0.939147454,[19:25 - Inf) hr,F1,3-D
3,0.791666667,prain,0.032349611,[19:25 - Inf) hr,F1,3-D
3,0.791666667,irain,0.388195326,[19:25 - Inf) hr,F1,3-D
3,0.916666667,crain,0.972506033,[19:25 - Inf) hr,F1,3-D
3,0.875,prain,0.033358579,[19:25 - Inf) hr,F1,3-D
3,0.875,irain,0.400302948,[19:25 - Inf) hr,F1,3-D
3,1,crain,1,[19:25 - Inf) hr,F1,3-D
3,0.958333333,prain,0.027493967,[19:25 - Inf) hr,F1,3-D
3,0.958333333,irain,0.329927607,[19:25 - Inf) hr,F1,3-D
4,0.083333333,crain,0.058732959,[19:25 - Inf) hr,F1,4-D
4,0.041666667,prain,0.058732959,[19:25 - Inf) hr,F1,4-D
4,0.041666667,irain,0.704795512,[19:25 - Inf) hr,F1,4-D
4,0.166666667,crain,0.141489983,[19:25 - Inf) hr,F1,4-D
4,0.125,prain,0.082757024,[19:25 - Inf) hr,F1,4-D
4,0.125,irain,0.993084286,[19:25 - Inf) hr,F1,4-D
4,0.25,crain,0.251104294,[19:25 - Inf) hr,F1,4-D
4,0.208333333,prain,0.109614311,[19:25 - Inf) hr,F1,4-D
4,0.208333333,irain,1.315371736,[19:25 - Inf) hr,F1,4-D
4,0.333333333,crain,0.408202791,[19:25 - Inf) hr,F1,4-D
4,0.291666667,prain,0.157098496,[19:25 - Inf) hr,F1,4-D
4,0.291666667,irain,1.885181955,[19:25 - Inf) hr,F1,4-D
4,0.416666667,crain,0.553100248,[19:25 - Inf) hr,F1,4-D
4,0.375,prain,0.144897457,[19:25 - Inf) hr,F1,4-D
