Description,Return period (yrs),Urbanised peak flow (m^3/s),Urbanised direct runoff (ML),As-rural peak flow (m^3/s),As-rural direct runnof (ML)
1 year,1,3.49268017483322,110.597628580056,3.16169142952486,96.0344826747711,
2 year,2,3.86821668558994,124.017693683366,3.49789285660721,107.853843717769,
5 year,5,5.08256080840214,167.711991425321,4.58898199490957,146.553296651057,
10 year,10,5.98117881506219,200.318284425605,5.40003942901293,175.630946520514,
30 year,30,7.54047316193206,257.390211974373,6.81413076147468,226.889768687327,
50 year,50,8.37747552461422,288.260872962553,7.57646266579082,254.790454513853,
75 year,75,9.12555267135737,315.979742467601,8.25960937539568,279.937856946297,
100 year,100,9.71410785144408,337.868097246413,8.79822565995739,299.855664318173,
200 year,200,11.3794686531604,400.159130613842,10.3274280531809,356.80692089382,
1000 year,1000,16.5900836404965,597.922257876935,15.1544037264298,539.825433974254,
Observed rainfall - 04/05/2022,,13.3548003840347,448.704866914861,12.2010193652206,402.216458072157,
