Cluster_num,MaxRainfallIntensity,MaxRainfallIntensityMinute,TotalFloodedArea,%Diff_FloodedArea_fromSP,%Diff_FloodedArea_fromSP_formatted,Abs%Diff_FloodedArea_fromSP,UrbanFloodedArea,%Diff_UrbanFloodedArea_fromSP,%Diff_UrbanFloodedArea_fromSP_formatted,Abs%Diff_UrbanFloodedArea_fromSP,WorstCaseDepth_ncells,WorstCaseVelocity_ncells,colour,<=0.25m/s_propcells_x,0.25-0.5m/s_propcells_x,0.5-2m/s_propcells_x,>2m/s_propcells_x,<=0.3m_propcells_x,0.3-0.6m_propcells_x,0.6-1.2m_propcells_x,>1.2m_propcells_x,<=0.25m/s_propcells_urban_x,0.25-0.5m/s_propcells_urban_x,0.5-2m/s_propcells_urban_x,>2m/s_propcells_urban_x,<=0.3m_propcells_urban_x,0.3-0.6m_propcells_urban_x,0.6-1.2m_propcells_urban_x,>1.2m_propcells_urban_x,<=0.25m/s_countcells_x,0.25-0.5m/s_countcells_x,0.5-2m/s_countcells_x,>2m/s_countcells_x,<=0.3m_countcells_x,0.3-0.6m_countcells_x,0.6-1.2m_countcells_x,>1.2m_countcells_x,<=0.25m/s_countcells_urban_x,0.25-0.5m/s_countcells_urban_x,0.5-2m/s_countcells_urban_x,>2m/s_countcells_urban_x,<=0.3m_countcells_urban_x,0.3-0.6m_countcells_urban_x,0.6-1.2m_countcells_urban_x,>1.2m_countcells_urban_x,Low hazard_numcells_x,Moderate hazard_numcells_x,Significant hazard_numcells_x,Extreme hazard_numcells_x,Low hazard_propcells_x,Moderate hazard_propcells_x,Significant hazard_propcells_x,Extreme hazard_propcells_x,<=0.25m/s_propcells_y,0.25-0.5m/s_propcells_y,0.5-2m/s_propcells_y,>2m/s_propcells_y,<=0.3m_propcells_y,0.3-0.6m_propcells_y,0.6-1.2m_propcells_y,>1.2m_propcells_y,<=0.25m/s_propcells_urban_y,0.25-0.5m/s_propcells_urban_y,0.5-2m/s_propcells_urban_y,>2m/s_propcells_urban_y,<=0.3m_propcells_urban_y,0.3-0.6m_propcells_urban_y,0.6-1.2m_propcells_urban_y,>1.2m_propcells_urban_y,<=0.25m/s_countcells_y,0.25-0.5m/s_countcells_y,0.5-2m/s_countcells_y,>2m/s_countcells_y,<=0.3m_countcells_y,0.3-0.6m_countcells_y,0.6-1.2m_countcells_y,>1.2m_countcells_y,<=0.25m/s_countcells_urban_y,0.25-0.5m/s_countcells_urban_y,0.5-2m/s_countcells_urban_y,>2m/s_countcells_urban_y,<=0.3m_countcells_urban_y,0.3-0.6m_countcells_urban_y,0.6-1.2m_countcells_urban_y,>1.2m_countcells_urban_y,Low hazard_numcells_y,Moderate hazard_numcells_y,Significant hazard_numcells_y,Extreme hazard_numcells_y,Low hazard_propcells_y,Moderate hazard_propcells_y,Significant hazard_propcells_y,Extreme hazard_propcells_y,<=0.25m/s_propcells,0.25-0.5m/s_propcells,0.5-2m/s_propcells,>2m/s_propcells,<=0.3m_propcells,0.3-0.6m_propcells,0.6-1.2m_propcells,>1.2m_propcells,<=0.25m/s_propcells_urban,0.25-0.5m/s_propcells_urban,0.5-2m/s_propcells_urban,>2m/s_propcells_urban,<=0.3m_propcells_urban,0.3-0.6m_propcells_urban,0.6-1.2m_propcells_urban,>1.2m_propcells_urban,<=0.25m/s_countcells,0.25-0.5m/s_countcells,0.5-2m/s_countcells,>2m/s_countcells,<=0.3m_countcells,0.3-0.6m_countcells,0.6-1.2m_countcells,>1.2m_countcells,<=0.25m/s_countcells_urban,0.25-0.5m/s_countcells_urban,0.5-2m/s_countcells_urban,>2m/s_countcells_urban,<=0.3m_countcells_urban,0.3-0.6m_countcells_urban,0.6-1.2m_countcells_urban,>1.2m_countcells_urban,Low hazard_numcells,Moderate hazard_numcells,Significant hazard_numcells,Extreme hazard_numcells,Low hazard_propcells,Moderate hazard_propcells,Significant hazard_propcells,Extreme hazard_propcells,Hazard_SameCat_countcells,Hazard_1CatsHigher_countcells,Hazard_2CatsHigher_countcells,Hazard_3CatsHigher_countcells,Hazard_SameCat_propcells,Hazard_1CatsHigher_propcells,Hazard_2CatsHigher_propcells,Hazard_3CatsHigher_propcells
6h_feh_sp,0.201255196375497,180,1.701144,0.0,,0.0,0.575595,0.0,,0.0,,,black,88.5,8.0,3.5,0.0,54.3,28.5,12.8,4.4,95.4,4.1,0.5,0.0,60.0,22.1,11.1,6.8,1505860,135930,59354,0,924130,484428,217326,75323,549204,23318,3073,0,345423,127463,63901,38860,799151,354636,500786,46571,47.0,20.8,29.4,2.7,88.5,8.0,3.5,0.0,54.3,28.5,12.8,4.4,95.4,4.1,0.5,0.0,60.0,22.1,11.1,6.8,1505860,135930,59354,0,924130,484428,217326,75323,549204,23318,3073,0,345423,127463,63901,38860,799151,354636,500786,46571,47.0,20.8,29.4,2.7,88.5,8.0,3.5,0.0,54.3,28.5,12.8,4.4,95.4,4.1,0.5,0.0,60.0,22.1,11.1,6.8,1505860,135930,59354,0,924130,484428,217326,75323,549204,23318,3073,0,345423,127463,63901,38860,799151,354636,500786,46571,47.0,20.8,29.4,2.7,,,,,,,,
6h_c1,0.268024597584567,29,1.762416,3.6,+3.6%,3.6,0.551646,-4.16,-4.16%,4.16,329725.0,835346.0,darkblue,85.1,11.4,3.5,0.0,55.2,28.8,11.8,4.2,85.9,12.4,1.7,0.0,59.6,22.1,11.4,6.9,1499154,200716,62546,0,973643,506828,208673,73341,473826,68677,9143,0,328818,121882,62745,38259,829010,361571,521446,50389,47.0,20.5,29.6,2.9,85.1,11.4,3.5,0.0,55.2,28.8,11.8,4.2,85.9,12.4,1.7,0.0,59.6,22.1,11.4,6.9,1499154,200716,62546,0,973643,506828,208673,73341,473826,68677,9143,0,328818,121882,62745,38259,829010,361571,521446,50389,47.0,20.5,29.6,2.9,85.1,11.4,3.5,0.0,55.2,28.8,11.8,4.2,85.9,12.4,1.7,0.0,59.6,22.1,11.4,6.9,1499154,200716,62546,0,973643,506828,208673,73341,473826,68677,9143,0,328818,121882,62745,38259,829010,361571,521446,50389,47.0,20.5,29.6,2.9,48844.0,489016.0,322682.0,532978.0,3.5,35.1,23.2,38.2
6h_c2,0.102318344532542,269,1.685776,-0.9,-0.9%,0.9,0.524609,-8.86,-8.86%,8.86,929.0,2239.0,indianred,88.3,8.6,3.1,0.0,54.9,28.4,12.3,4.4,89.9,8.5,1.6,0.0,58.1,22.8,11.9,7.3,1488052,144884,52840,0,925475,479339,206563,74471,471810,44634,8165,0,304987,119398,62193,38092,793492,380037,465306,46941,47.1,22.5,27.6,2.8,88.3,8.6,3.1,0.0,54.9,28.4,12.3,4.4,89.9,8.5,1.6,0.0,58.1,22.8,11.9,7.3,1488052,144884,52840,0,925475,479339,206563,74471,471810,44634,8165,0,304987,119398,62193,38092,793492,380037,465306,46941,47.1,22.5,27.6,2.8,88.3,8.6,3.1,0.0,54.9,28.4,12.3,4.4,89.9,8.5,1.6,0.0,58.1,22.8,11.9,7.3,1488052,144884,52840,0,925475,479339,206563,74471,471810,44634,8165,0,304987,119398,62193,38092,793492,380037,465306,46941,47.1,22.5,27.6,2.8,45583.0,437442.0,341713.0,568685.0,3.3,31.4,24.5,40.8
6h_c3,0.142228780553526,119,1.723133,1.29,+1.29%,1.29,0.537446,-6.63,-6.63%,6.63,78016.0,3075.0,paleturquoise,87.1,9.8,3.1,0.0,54.8,28.9,12.1,4.3,88.3,10.3,1.4,0.0,59.0,22.3,11.6,7.1,1500786,168657,53690,0,943925,498184,207663,73426,474302,55377,7767,0,317187,119866,62432,38015,809330,360361,505774,47668,47.0,20.9,29.4,2.8,87.1,9.8,3.1,0.0,54.8,28.9,12.1,4.3,88.3,10.3,1.4,0.0,59.0,22.3,11.6,7.1,1500786,168657,53690,0,943925,498184,207663,73426,474302,55377,7767,0,317187,119866,62432,38015,809330,360361,505774,47668,47.0,20.9,29.4,2.8,87.1,9.8,3.1,0.0,54.8,28.9,12.1,4.3,88.3,10.3,1.4,0.0,59.0,22.3,11.6,7.1,1500786,168657,53690,0,943925,498184,207663,73426,474302,55377,7767,0,317187,119866,62432,38015,809330,360361,505774,47668,47.0,20.9,29.4,2.8,46240.0,476106.0,321748.0,554057.0,3.3,34.1,23.0,39.6
6h_c4,0.0948696552455029,329,1.676352,-1.46,-1.46%,1.46,0.521628,-9.38,-9.38%,9.38,13553.0,8140.0,darkred,88.7,8.2,3.1,0.0,54.8,28.7,12.0,4.4,90.5,7.9,1.6,0.0,58.0,22.8,11.9,7.3,1487156,137282,51914,0,919047,481935,201230,74212,472239,41184,8205,0,302742,118842,62035,38070,792549,383841,453465,46497,47.3,22.9,27.1,2.8,88.7,8.2,3.1,0.0,54.8,28.7,12.0,4.4,90.5,7.9,1.6,0.0,58.0,22.8,11.9,7.3,1487156,137282,51914,0,919047,481935,201230,74212,472239,41184,8205,0,302742,118842,62035,38070,792549,383841,453465,46497,47.3,22.9,27.1,2.8,88.7,8.2,3.1,0.0,54.8,28.7,12.0,4.4,90.5,7.9,1.6,0.0,58.0,22.8,11.9,7.3,1487156,137282,51914,0,919047,481935,201230,74212,472239,41184,8205,0,302742,118842,62035,38070,792549,383841,453465,46497,47.3,22.9,27.1,2.8,45151.0,425946.0,345556.0,570256.0,3.3,30.7,24.9,41.1
6h_c5,0.204575356738183,360,1.84323,8.35,+8.35%,8.35,0.591846,2.82,+2.82%,2.82,972464.0,623579.0,darkred,82.6,12.4,5.0,0.0,56.5,27.4,11.8,4.3,82.7,14.4,2.9,0.0,60.0,22.3,11.1,6.6,1522064,228573,92590,3,1041723,504922,217302,79346,489725,85161,16960,0,355177,131746,65723,39252,896993,391557,498408,56272,48.7,21.2,27.0,3.1,82.6,12.4,5.0,0.0,56.5,27.4,11.8,4.3,82.7,14.4,2.9,0.0,60.0,22.3,11.1,6.6,1522064,228573,92590,3,1041723,504922,217302,79346,489725,85161,16960,0,355177,131746,65723,39252,896993,391557,498408,56272,48.7,21.2,27.0,3.1,82.6,12.4,5.0,0.0,56.5,27.4,11.8,4.3,82.7,14.4,2.9,0.0,60.0,22.3,11.1,6.6,1522064,228573,92590,3,1041723,504922,217302,79346,489725,85161,16960,0,355177,131746,65723,39252,896993,391557,498408,56272,48.7,21.2,27.0,3.1,54711.0,464527.0,350780.0,530063.0,3.9,33.2,25.1,37.9
6h_c6,0.108701626682515,209,1.672434,-1.69,-1.69%,1.69,0.520924,-9.5,-9.5%,9.5,14578.0,1574.0,grey,88.4,8.7,2.9,0.0,54.4,29.0,12.2,4.4,90.1,8.5,1.4,0.0,58.2,22.7,11.9,7.3,1478406,145247,48781,0,909574,485594,203784,73554,469432,44454,7038,0,303161,118184,61746,37894,787838,368088,470211,46297,47.1,22.0,28.1,2.8,88.4,8.7,2.9,0.0,54.4,29.0,12.2,4.4,90.1,8.5,1.4,0.0,58.2,22.7,11.9,7.3,1478406,145247,48781,0,909574,485594,203784,73554,469432,44454,7038,0,303161,118184,61746,37894,787838,368088,470211,46297,47.1,22.0,28.1,2.8,88.4,8.7,2.9,0.0,54.4,29.0,12.2,4.4,90.1,8.5,1.4,0.0,58.2,22.7,11.9,7.3,1478406,145247,48781,0,909574,485594,203784,73554,469432,44454,7038,0,303161,118184,61746,37894,787838,368088,470211,46297,47.1,22.0,28.1,2.8,44938.0,442290.0,330013.0,572715.0,3.2,31.8,23.7,41.2
6h_c7,0.137324757408543,329,1.740675,2.32,+2.32%,2.32,0.549654,-4.51,-4.51%,4.51,3245.0,15442.0,darkred,86.4,9.9,3.8,0.0,55.5,28.0,12.2,4.4,87.5,10.5,2.0,0.0,58.9,22.5,11.6,7.0,1503261,171622,65792,0,965442,486769,212240,76289,480902,57501,11251,0,323625,123835,63756,38492,828849,394649,467073,50104,47.6,22.7,26.8,2.9,86.4,9.9,3.8,0.0,55.5,28.0,12.2,4.4,87.5,10.5,2.0,0.0,58.9,22.5,11.6,7.0,1503261,171622,65792,0,965442,486769,212240,76289,480902,57501,11251,0,323625,123835,63756,38492,828849,394649,467073,50104,47.6,22.7,26.8,2.9,86.4,9.9,3.8,0.0,55.5,28.0,12.2,4.4,87.5,10.5,2.0,0.0,58.9,22.5,11.6,7.0,1503261,171622,65792,0,965442,486769,212240,76289,480902,57501,11251,0,323625,123835,63756,38492,828849,394649,467073,50104,47.6,22.7,26.8,2.9,48675.0,437177.0,355505.0,555274.0,3.5,31.3,25.5,39.8
6h_c8,0.0815659813751562,59,1.573519,-7.5,-7.5%,7.5,0.480657,-16.49,-16.49%,16.49,,13.0,darkblue,91.3,6.8,1.9,0.0,54.0,29.8,11.8,4.4,93.7,5.5,0.8,0.0,57.1,22.8,12.3,7.7,1436853,106612,30054,0,849092,468612,185922,69965,450590,26235,3832,0,274514,109782,59226,37196,724605,355052,454111,39751,46.0,22.6,28.9,2.5,91.3,6.8,1.9,0.0,54.0,29.8,11.8,4.4,93.7,5.5,0.8,0.0,57.1,22.8,12.3,7.7,1436853,106612,30054,0,849092,468612,185922,69965,450590,26235,3832,0,274514,109782,59226,37196,724605,355052,454111,39751,46.0,22.6,28.9,2.5,91.3,6.8,1.9,0.0,54.0,29.8,11.8,4.4,93.7,5.5,0.8,0.0,57.1,22.8,12.3,7.7,1436853,106612,30054,0,849092,468612,185922,69965,450590,26235,3832,0,274514,109782,59226,37196,724605,355052,454111,39751,46.0,22.6,28.9,2.5,38505.0,428485.0,317837.0,542573.0,2.9,32.3,23.9,40.9
6h_c9,0.0907288304954092,179,1.652455,-2.86,-2.86%,2.86,0.512241,-11.01,-11.01%,11.01,1180.0,1317.0,grey,89.2,8.1,2.7,0.0,54.2,29.2,12.2,4.4,91.1,7.7,1.2,0.0,57.9,22.8,11.9,7.4,1474791,133456,44208,0,896342,481833,201597,72755,466447,39442,6352,0,296640,116790,61138,37734,772945,360714,474444,44352,46.8,21.8,28.7,2.7,89.2,8.1,2.7,0.0,54.2,29.2,12.2,4.4,91.1,7.7,1.2,0.0,57.9,22.8,11.9,7.4,1474791,133456,44208,0,896342,481833,201597,72755,466447,39442,6352,0,296640,116790,61138,37734,772945,360714,474444,44352,46.8,21.8,28.7,2.7,89.2,8.1,2.7,0.0,54.2,29.2,12.2,4.4,91.1,7.7,1.2,0.0,57.9,22.8,11.9,7.4,1474791,133456,44208,0,896342,481833,201597,72755,466447,39442,6352,0,296640,116790,61138,37734,772945,360714,474444,44352,46.8,21.8,28.7,2.7,43027.0,447302.0,322819.0,570080.0,3.1,32.3,23.3,41.2
