,tt
0,.0594679
1,.0603535
2,.0611090
3,.0613976
4,.0616863
5,.0619749
6,.0622635
7,.0625521
8,.0628408
9,.0631294
10,.0634180
11,.0637066
12,.0639953
13,.0642839
14,.0645725
15,.0648611
16,.0651498
17,.0654384
18,.0657270
19,.0660156
20,.0663043
21,.0665929
22,.0668815
23,.0671701
24,.0674587
25,.0677474
26,.0680360
27,.0683246
28,.0686132
29,.0689019
30,.1307022
31,.1317283
32,.1327545
33,.1337806
34,.1348067
35,.1358329
36,.1368590
37,.1378851
38,.1389112
39,.1399374
40,.1409635
41,.1419896
42,.1430158
43,.1440419
44,.1450680
45,.1460942
46,.1471203
47,.1481464
48,.1491725
49,.1501987
50,.1512248
51,.1522509
52,.1532771
53,.1543032
54,.1553293
55,.1563555
56,.1573816
57,.1584077
58,.1594339
59,.1604600
60,.1070014
61,.1074529
62,.1079044
63,.1083559
64,.1088074
65,.1092588
66,.1097103
67,.1101618
68,.1106133
69,.1110648
70,.1115163
71,.1119677
72,.1124192
73,.1128707
74,.1133222
75,.1137737
76,.1142251
77,.1146766
78,.1151281
79,.1155796
80,.1160311
81,.1164826
82,.1169340
83,.1173855
84,.1178370
85,.1182885
86,.1187400
87,.1191915
88,.1196429
89,.1200944
90,.0441999
91,.0442607
92,.0443216
93,.0443824
94,.0444433
95,.0445041
96,.0445649
97,.0446258
98,.0446866
99,.0447475
100,.0448083
101,.0448692
102,.0449300
103,.0449908
104,.0450517
105,.0451125
106,.0451734
107,.0452342
108,.0452951
109,.0453559
110,.0454167
111,.0454776
112,.0455384
113,.0455993
114,.0456601
115,.0457210
116,.0457818
117,.0458426
118,.0459035
119,.0459643
120,.0268963
121,.0269171
122,.0269379
123,.0269587
124,.0269794
125,.0270002
126,.0270210
127,.0270418
128,.0270626
129,.0270834
130,.0271042
131,.0271250
132,.0271458
133,.0271665
134,.0271873
135,.0272081
136,.0272289
137,.0272497
138,.0272705
139,.0272913
140,.0273121
141,.0273329
142,.0273536
143,.0273744
144,.0273952
145,.0274160
146,.0274368
147,.0274576
148,.0274784
149,.0274992
150,.0196462
151,.0196568
152,.0196674
153,.0196780
154,.0196886
155,.0196992
156,.0197098
157,.0197204
158,.0197310
159,.0197416
160,.0197522
161,.0197628
162,.0197734
163,.0197839
164,.0197945
165,.0198051
166,.0198157
167,.0198263
168,.0198369
169,.0198475
170,.0198581
171,.0198687
172,.0198793
173,.0198899
174,.0199005
175,.0199111
176,.0199217
177,.0199323
178,.0199429
179,.0199535
180,.0133649
181,.0133696
182,.0133744
183,.0133791
184,.0133839
185,.0133886
186,.0133934
187,.0133981
188,.0134029
189,.0134076
190,.0134124
191,.0134171
192,.0134219
193,.0134266
194,.0134314
195,.0134361
196,.0134409
197,.0134456
198,.0134504
199,.0134551
200,.0134599
201,.0134646
202,.0134694
203,.0134741
204,.0134789
205,.0134836
206,.0134884
207,.0134931
208,.0134979
209,.0135026
210,.0130291
211,.0130335
212,.0130379
213,.0130423
214,.0130467
215,.0130512
216,.0130556
217,.0130600
218,.0130644
219,.0130688
220,.0130733
221,.0130777
222,.0130821
223,.0130865
224,.0130909
225,.0130954
226,.0130998
227,.0131042
228,.0131086
229,.0131130
230,.0131175
231,.0131219
232,.0131263
233,.0131307
234,.0131351
235,.0131395
236,.0131440
237,.0131484
238,.0131528
239,.0131572
240,.0124993
241,.0125033
242,.0125073
243,.0125113
244,.0125153
245,.0125193
246,.0125232
247,.0125272
248,.0125312
249,.0125352
250,.0125392
251,.0125432
252,.0125472
253,.0125512
254,.0125551
255,.0125591
256,.0125631
257,.0125671
258,.0125711
259,.0125751
260,.0125791
261,.0125830
262,.0125870
263,.0125910
264,.0125950
265,.0125990
266,.0126030
267,.0126070
268,.0126109
269,.0126149
270,.0095438
271,.0095460
272,.0095483
273,.0095506
274,.0095529
275,.0095552
276,.0095574
277,.0095597
278,.0095620
279,.0095643
280,.0095666
281,.0095688
282,.0095711
283,.0095734
284,.0095757
285,.0095780
286,.0095802
287,.0095825
288,.0095848
289,.0095871
290,.0095894
291,.0095916
292,.0095939
293,.0095962
294,.0095985
295,.0096008
296,.0096030
297,.0096053
298,.0096076
299,.0096099
300,.0119050
301,.0119085
302,.0119120
303,.0119155
304,.0119190
305,.0119225
306,.0119260
307,.0119295
308,.0119330
309,.0119365
310,.0119400
311,.0119435
312,.0119470
313,.0119505
314,.0119540
315,.0119574
316,.0119609
317,.0119644
318,.0119679
319,.0119714
320,.0119749
321,.0119784
322,.0119819
323,.0119854
324,.0119889
325,.0119924
326,.0119959
327,.0119994
328,.0120029
329,.0120064
330,.0127783
331,.0127823
332,.0127863
333,.0127902
334,.0127942
335,.0127981
336,.0128021
337,.0128061
338,.0128100
339,.0128140
340,.0128179
341,.0128219
342,.0128259
343,.0128298
344,.0128338
345,.0128377
346,.0128417
347,.0128457
348,.0128496
349,.0128536
350,.0128575
351,.0128615
352,.0128655
353,.0128694
354,.0128734
355,.0128773
356,.0128813
357,.0128852
358,.0128892
359,.0128932
