sensor_id,sensor_description,sensor_name,installation_date,status,note,direction_1,direction_2,Latitude,Longitude,location
16,Australia on Collins,Col270_T,30/03/2009,R,Device moved to location ID 53 (22/09/2015),,,-37.81573422,144.9652104,"(-37.81573422, 144.96521044)"
50,Faraday St-Lygon St (West),Lyg309_T,30/11/2017,A,,South,North,-37.79808191,144.9672101,"(-37.79808191, 144.96721014)"
73,Bourke St - Spencer St (South),Bou655_T,02/10/2020,I,,East,West,-37.81695684,144.9541537,"(-37.81695684, 144.95415373)"
66,State Library - New,QVN_T,06/04/2020,A,,South,North,-37.81057845,144.9644429,"(-37.81057845, 144.96444294)"
59,Building 80 RMIT,RMIT_T,13/02/2019,A,,South,North,-37.80825648,144.9630486,"(-37.80825648, 144.96304859)"
23,Spencer St-Collins St (South),Col623_T,02/09/2013,A,,East,West,-37.81909256,144.9545275,"(-37.81909256, 144.95452749)"
20,Chinatown-Lt Bourke St (South),LtB170_T,06/09/2013,A,,East,West,-37.81172913,144.9682466,"(-37.81172913, 144.9682466)"
68,Flinders Ln -Degraves St (North),FLDegN_T,03/06/2020,A,,East,West,-37.81684789,144.9655979,"(-37.81684789, 144.96559789)"
33,Flinders St-Spring St (West),Spr13_T,23/04/2014,R,,South,North,-37.81483252,144.9745406,"(-37.81483252, 144.97454056)"
40,Lonsdale St-Spring St (West),Spr201_T,19/01/2015,A,,South,North,-37.80999341,144.9722759,"(-37.80999341, 144.97227588)"
85,Macaulay Rd (North),488Mac_T,21/12/2021,A,,East,West,-37.79432414,144.9297338,"(-37.79432414, 144.92973379)"
15,State Library,QV_T,25/03/2009,R,,South,North,-37.81064378,144.9644713,"(-37.81064378, 144.96447132)"
70,Errol Street (East),Errol20_T,12/10/2020,A,,South,North,-37.80456984,144.9494623,"(-37.80456984, 144.94946229)"
64,Royal Pde - Grattan St,Grat292_T,16/01/2020,I,,South,North,-37.79949544,144.9579228,"(-37.79949544, 144.95792282)"
31,Lygon St (West),Lyg161_T,10/10/2013,A,,South,North,-37.8016968,144.9665891,"(-37.8016968, 144.96658911)"
19,Chinatown-Swanston St (North),LtB210_T,02/09/2013,A,,East,West,-37.81237202,144.9655067,"(-37.81237202, 144.96550671)"
55,Elizabeth St-La Trobe St (East),Eli380_T,19/07/2018,I,,South,North,-37.80988941,144.9613433,"(-37.80988941, 144.96134331)"
75,Spring St- Flinders st (West),SprFli_T,18/12/2020,A,,South,North,-37.81515275,144.9746766,"(-37.81515275, 144.97467661)"
12,New Quay,NewQ_T,21/01/2009,A,,East,West,-37.81457987,144.942924,"(-37.81457987, 144.94292398)"
36,Queen St (West),Que85_T,20/01/2015,A,,South,North,-37.81652527,144.9612106,"(-37.81652527, 144.96121063)"
82,Pop-up Lib Elizabeth St Left entry,PoEliL_T,05/11/2021,A,,,,-37.80680011,144.9600174,"(-37.80680011, 144.96001735)"
41,Flinders La-Swanston St (West),Swa31,29/06/2017,A,,South,North,-37.81668633,144.9668973,"(-37.81668633, 144.96689733)"
86,Queensberry St - Errol St (South),574Qub_T,21/12/2021,A,,East,West,-37.80309992,144.9490806,"(-37.80309992, 144.94908064)"
11,Waterfront City,WatCit_T,20/01/2009,A,,East,West,-37.81564989,144.939707,"(-37.81564989, 144.93970695)"
6,Flinders Street Station Underpass,FliS_T,25/03/2009,A,Upgraded on 8/09/21,South,North,-37.81911704,144.9655826,"(-37.81911704, 144.96558256)"
72,Flinders St- ACMI,ACMI_T,30/11/2020,A,,East,West,-37.81726337,144.9687281,"(-37.81726337, 144.96872809)"
7,Birrarung Marr,Fed_T,17/12/2014,A,,East,West,-37.81862929,144.971694,"(-37.81862929, 144.97169395)"
49,QVM-Therry St (South),Eli501_T,29/11/2017,A,,East,West,-37.80730067,144.9595606,"(-37.80730067, 144.95956055)"
18,Collins Place (North),Col12_T,30/03/2009,A,,East,West,-37.81344861,144.9730535,"(-37.81344861, 144.97305354)"
79,Flinders St (South),FliSS_T,10/09/2021,A,,East,West,-37.81794046,144.9661668,"(-37.81794046, 144.96616678)"
26,QV Market-Elizabeth St (West),Eli483_T,28/09/2013,A,,South,North,-37.80869542,144.960494,"(-37.80869542, 144.96049404)"
81,Boyd Commuinty - Front door,BoCoF_T,30/03/2021,A,,,,-37.82579137,144.9608434,"(-37.82579137, 144.96084344)"
25,Melbourne Convention Exhibition Centre,MCEC_T,28/08/2013,R,,East,West,-37.82401776,144.9560443,"(-37.82401776, 144.95604426)"
69,Flinders Ln -Degraves St (Crossing),FLDegC_T,03/06/2020,A,,South,North,-37.81687225,144.9655915,"(-37.81687225, 144.96559145)"
91,Library at The Dock-North side,DocLib1_T,05/06/2015,A,,,,-37.82001879,144.9402986,"(-37.82001879, 144.94029862)"
47,Melbourne Central-Elizabeth St (East),Eli250_T,24/08/2017,A,,South,North,-37.81160331,144.9622008,"(-37.81160331, 144.96220077)"
24,Spencer St-Collins St (North),Col620_T,02/09/2013,A,,East,West,-37.81887962,144.954492,"(-37.81887962, 144.95449198)"
27,QV Market-Peel St,Vic_T,16/08/2013,A,,East,West,-37.80606888,144.9564469,"(-37.80606888, 144.95644693)"
29,St Kilda Rd-Alexandra Gardens,AG_T,11/10/2013,A,sensor upgraded from laser to 3D on 19/12/2019,South,North,-37.81965808,144.9686345,"(-37.81965808, 144.96863453)"
53,Collins Street (North),Col254_T,23/09/2015,I,,East,West,-37.8156419,144.965499,"(-37.8156419, 144.965499)"
62,La Trobe St (North),Lat224_T,25/09/2019,A,,East,West,-37.80996494,144.9621652,"(-37.80996494, 144.96216521)"
89,City Library,CityLi_T,11/12/2013,A,,,,-37.81685963,144.9658658,"(-37.81685963, 144.96586576)"
35,Southbank,SouthB_T,15/04/2021,A,Southbank -Building side,East,West,-37.82017828,144.9650888,"(-37.82017828, 144.96508877)"
80,Boyd Commuinty - Rear door,BoCoR_T,30/03/2021,A,,,,-37.8254567,144.9613121,"(-37.8254567, 144.96131207)"
67,Flinders Ln -Degraves St (South),FLDegS_T,03/06/2020,A,,East,West,-37.81688755,144.9656257,"(-37.81688755, 144.9656257)"
58,Bourke St - Spencer St (North),Bou688_T,27/09/2018,A,,East,West,-37.81686074,144.9535808,"(-37.81686074, 144.95358075)"
28,The Arts Centre,VAC_T,23/08/2013,A,,South,North,-37.82129924,144.9687931,"(-37.82129924, 144.96879309)"
92,Library at The Dock-South side,DocLib2_T,05/06/2015,A,,,,-37.82016286,144.9403959,"(-37.82016286, 144.94039585)"
57,Bourke St Bridge,BouBri_T,13/08/2018,A,,East,West,-37.8176735,144.950256,"(-37.8176735, 144.95025595)"
78,Harbour Esplanade (West) - Bike Path,HarEsB_T,30/03/2021,A,,South,North,-37.81471642,144.9446508,"(-37.81471642, 144.9446508)"
77,Harbour Esplanade (West) - Pedestrian path,HarEsP_T,25/03/2021,A,,South,North,-37.81441438,144.9443303,"(-37.81441438, 144.94433026)"
44,Tin Alley-Swanston St (West),UM3_T,15/04/2015,A,,South,North,-37.79690473,144.9644038,"(-37.79690473, 144.96440378)"
45,Little Collins St-Swanston St (East),Swa148_T,29/06/2017,A,,South,North,-37.81414074,144.9660938,"(-37.81414074, 144.9660938)"
48,QVM-Queen St (East),QVMQ_T,02/10/2017,A,,East,West,-37.80631581,144.958667,"(-37.80631581, 144.95866698)"
88,Micro-Labs,MicLab_T,28/07/2022,A,,,,-37.81330971,144.966877,"(-37.81330971, 144.96687704)"
43,Monash Rd-Swanston St (West),UM2_T,15/04/2015,A,,South,North,-37.79844525,144.9641178,"(-37.79844525, 144.96411782)"
1,Bourke Street Mall (North),Bou292_T,24/03/2009,A,,East,West,-37.8134944,144.9651532,"(-37.8134944, 144.96515324)"
3,Melbourne Central,Swa295_T,25/03/2009,A,,South,North,-37.81101523,144.9642949,"(-37.81101523, 144.96429485)"
17,Collins Place (South),Col15_T,30/03/2009,I,Device is upgraded in 26/02/2020,East,West,-37.81362542,144.9732359,"(-37.81362542, 144.97323592)"
60,Flinders La - Swanston St (West) Temporary,Swa31T_T,08/03/2019,R,Temporary for the duration of the metro tunnel works. Installed under the scaffolding.,South,North,-37.81668188,144.9668954,"(-37.81668188, 144.9668954)"
13,Flagstaff Station,Wil277_T,24/03/2009,R,,,,-37.81239679,144.9565265,"(-37.81239679, 144.95652653)"
84,Elizabeth St - Flinders St (East) - New footpath,ElFi_T,03/12/2021,A,,South,North,-37.81798049,144.9650338,"(-37.81798049, 144.96503383)"
9,Southern Cross Station,Col700_T,23/03/2009,A,,East,West,-37.81982992,144.9510256,"(-37.81982992, 144.95102556)"
90,Boyd Community Hub- Library,BoCoL_T,11/08/2015,A,,,,-37.82556206,144.9611542,"(-37.82556206, 144.96115421)"
54,Lincoln-Swanston (West),Swa607_T,26/06/2018,A,,South,North,-37.804024,144.963084,"(-37.804024, 144.963084)"
30,Lonsdale St (South),Lon189_T,14/10/2013,A,,East,West,-37.81121849,144.9665681,"(-37.81121849, 144.96656807)"
61,RMIT Building 14,RMIT14_T,28/06/2019,A,,South,North,-37.80767455,144.9630912,"(-37.80767455, 144.96309115)"
83,Pop-up Lib Elizabeth St Right entry,PoEliR_T,05/11/2021,A,,,,-37.80681819,144.9600158,"(-37.80681819, 144.96001576)"
38,Flinders St-Swanston St (West),Swa11_T,05/12/2014,R,Device has been removed (17/02/2017),,,-37.81723437,144.9671503,"(-37.81723437, 144.96715033)"
32,City Square,CSq_T,20/12/2013,R,Device has been removed (24/01/2017),,,-37.81573742,144.9668572,"(-37.81573742, 144.96685718)"
22,Flinders St-Elizabeth St (East),Eli274_T,12/08/2013,R,,South,North,-37.81786445,144.9650682,"(-37.81786445, 144.96506823)"
5,Princes Bridge,PriNW_T,26/03/2009,A,,South,North,-37.81874249,144.9678766,"(-37.81874249, 144.96787656)"
65,Swanston St - City Square,SwaCs_T,12/03/2020,A,,South,North,-37.81569416,144.9668064,"(-37.81569416, 144.96680641)"
14,Sandridge Bridge,SanBri_T,24/03/2009,R,Sensor relocated to sensor ID 25 on 2/10/2019,South,North,-37.82011242,144.962919,"(-37.82011242, 144.96291898)"
10,Victoria Point,BouHbr_T,23/04/2009,A,,East,West,-37.81876473,144.9471055,"(-37.81876473, 144.94710545)"
21,Bourke St-Russell St (West),Rus180_T,02/09/2013,A,,South,North,-37.81244703,144.9677876,"(-37.81244703, 144.96778757)"
37,Lygon St (East),Lyg260_T,11/02/2015,A,,South,North,-37.80310271,144.9667145,"(-37.80310271, 144.96671452)"
4,Town Hall (West),Swa123_T,23/03/2009,A,,South,North,-37.81487988,144.9660878,"(-37.81487988, 144.9660878)"
71,Westwood Place,WestWP_T,16/10/2020,A,,South,North,-37.81235775,144.9713696,"(-37.81235775, 144.97136962)"
56,Lonsdale St - Elizabeth St (North),Lon364_T,25/07/2018,A,,East,West,-37.81234775,144.9615331,"(-37.81234775, 144.96153311)"
42,Grattan St-Swanston St (West),UM1_T,15/04/2015,A,,South,North,-37.80008565,144.9638641,"(-37.80008565, 144.96386412)"
34,Flinders St-Spark La,Fli32_T,08/06/2014,R,,East,West,-37.81537985,144.9741505,"(-37.81537985, 144.9741505)"
46,Pelham St (South),Pel147_T,10/07/2017,A,,East,West,-37.80240719,144.9615673,"(-37.80240719, 144.96156731)"
39,Alfred Place,AlfPl_T,04/12/2019,A,In 4/12/2019 sensor upgraded,South,North,-37.81379749,144.9699575,"(-37.81379749, 144.96995745)"
2,Bourke Street Mall (South),Bou283_T,30/03/2009,A,,East,West,-37.81380667,144.9651672,"(-37.81380667, 144.96516719)"
76,Macaulay Rd- Bellair St,KenMac_T,20/02/2021,A,,East,West,-37.79453802,144.9303619,"(-37.79453802, 144.93036194)"
51,QVM-Franklin St (North),Fra118_T,30/11/2017,A,,East,West,-37.80841814,144.9590632,"(-37.80841814, 144.95906317)"
63,231 Bourke St,Bou231_T,07/01/2020,A,,East,West,-37.81333081,144.9667557,"(-37.81333081, 144.96675572)"
87,Errol St (West),Errol23_T,20/05/2022,A,,South,North,-37.80454949,144.9492186,"(-37.80454949, 144.94921863)"
52,Elizabeth St-Lonsdale St (South),Eli263_T,31/07/2017,I,,East,West,-37.81252157,144.9619401,"(-37.81252157, 144.9619401)"
8,Webb Bridge,WebBN_T,24/03/2009,A,,South,North,-37.82293543,144.9471751,"(-37.82293543, 144.94717511)"
