station_id,capacity,Latitude,Longitude
2,23,-37.814022,144.939521
6,11,-37.810702,144.964417
7,11,-37.813088,144.967437
8,19,-37.79625,144.960858
9,7,-37.807699,144.963095
10,11,-37.817189,144.967409
11,27,-37.842395,144.961868
12,11,-37.801813,144.979209
14,19,-37.847795,144.948351
15,11,-37.828887,144.970822
16,33,-37.818306,144.945923
17,15,-37.823805,144.943051
18,11,-37.802129,144.96677
20,15,-37.809072,144.972762
21,23,-37.840885,144.955303
22,23,-37.835803,144.94852
23,11,-37.824468,144.946033
24,19,-37.807021,144.941854
25,27,-37.820836,144.962266
26,39,-37.841954,144.935296
27,27,-37.814117,144.944081
28,15,-37.821071,144.961113
29,27,-37.818124,144.953581
30,11,-37.842174,144.946051
31,15,-37.861984,144.97341
32,15,-37.858553,144.969101
33,23,-37.823124,144.951918
35,7,-37.805997,144.986953
36,11,-37.808266,144.979005
37,15,-37.800214,144.960313
38,11,-37.821324,144.958318
39,19,-37.822962,144.988507
40,23,-37.822987,144.978459
41,15,-37.832396,144.971678
42,27,-37.836323,144.975162
43,11,-37.813774,144.974054
44,15,-37.835383,144.973699
45,38,-37.867068,144.976428
46,15,-37.831475,144.957511
47,11,-37.824088,144.970085
48,15,-37.803868,144.969609
49,11,-37.816731,144.982006
50,23,-37.826578,144.966542
51,19,-37.821568,144.944488
52,11,-37.809216,144.955223
53,25,-37.806091,144.959017
55,11,-37.831776,144.960818
57,31,-37.858655,144.978818
4,15,-37.82071559,144.9691647
34,11,-37.81523,144.959731
