lamp_type_lupvalue,lamp_rating_w,Latitude,Longitude
13.0,70.0,-37.82514789,144.9472982
9.0,,-37.82260559,144.946367
13.0,35.0,-37.81887332,144.9431737
5.0,35.0,-37.82464707,144.9456895
9.0,10.0,-37.82440685,144.9472511
5.0,70.0,-37.81492985,144.9414094
1.0,,-37.81244441,144.9739833
16.0,,-37.80193535,144.9598425
16.0,,-37.80076596,144.9601396
16.0,,-37.80197819,144.9602384
16.0,,-37.80191022,144.9605071
16.0,,-37.80185972,144.9603597
16.0,,-37.80180497,144.9604426
16.0,,-37.80195779,144.9600952
16.0,,-37.80199259,144.960353
16.0,,-37.8008094,144.9605514
,,-37.82315403,144.9532498
9.0,,-37.81899078,144.9731894
,,-37.8199821,144.9650425
13.0,14.0,-37.81088693,144.9671289
5.0,70.0,-37.81876948,144.946086
,,-37.81878969,144.9429473
13.0,35.0,-37.82281394,144.9471957
9.0,,-37.8224272,144.945317
1.0,,-37.82098613,144.9541433
1.0,,-37.81762785,144.9515807
9.0,,-37.81496588,144.9415106
1.0,50.0,-37.81528641,144.9408237
9.0,,-37.81869485,144.9739149
12.0,,-37.82394356,144.9472559
1.0,,-37.81743515,144.9455197
9.0,,-37.81500737,144.9412342
1.0,50.0,-37.81533371,144.9443365
9.0,,-37.82354186,144.9708934
1.0,,-37.82312522,144.9417906
1.0,,-37.8154637,144.9402404
5.0,35.0,-37.82401995,144.947698
3.0,35.0,-37.81647676,144.9834904
9.0,,-37.81868774,144.9739086
,,-37.81628173,144.939925
,,-37.81902555,144.9434296
13.0,,-37.81526489,144.9405726
2.0,14.0,-37.78678517,144.9419256
9.0,,-37.81928606,144.9744505
9.0,,-37.82264411,144.9464281
3.0,36.0,-37.81786569,144.9503116
1.0,18.0,-37.82381278,144.9435371
9.0,,-37.78695278,144.9414556
1.0,,-37.81478644,144.9421465
4.0,,-37.81771952,144.9504605
3.0,36.0,-37.8176129,144.9490187
,,-37.81971483,144.9651322
,,-37.8197864,144.9651179
1.0,500.0,-37.81694075,144.9431917
1.0,18.0,-37.82359215,144.9432936
,,-37.81848419,144.944249
,,-37.81427462,144.9433993
9.0,,-37.81526733,144.9408049
9.0,,-37.82026655,144.9453063
9.0,,-37.81860239,144.9739043
5.0,35.0,-37.82399118,144.9476822
12.0,,-37.82289015,144.9471255
9.0,,-37.81907126,144.9743222
,125.0,-37.8198884,144.9664421
1.0,18.0,-37.82412925,144.9439032
,,-37.82328762,144.9516993
1.0,,-37.81573376,144.9444911
1.0,,-37.81490588,144.9410648
1.0,50.0,-37.81859193,144.9440118
9.0,,-37.82270999,144.946376
12.0,,-37.81962748,144.965187
5.0,70.0,-37.81927175,144.9538464
9.0,,-37.80976777,144.9640212
13.0,14.0,-37.81549465,144.9670739
1.0,20.0,-37.81377175,144.9404308
1.0,,-37.81438112,144.9475334
13.0,70.0,-37.81929281,144.952993
13.0,400.0,-37.81262188,144.9675132
13.0,35.0,-37.8239187,144.9472851
5.0,70.0,-37.81460436,144.9408777
3.0,36.0,-37.81756174,144.9495412
5.0,35.0,-37.81516003,144.9409891
,35.0,-37.81818245,144.9735582
9.0,32.0,-37.82028323,144.9605453
13.0,14.0,-37.81186804,144.9674816
13.0,35.0,-37.81934674,144.9741282
12.0,,-37.82313266,144.9471989
5.0,70.0,-37.81945843,144.9536258
9.0,,-37.81542428,144.9416585
,,-37.82410809,144.9520786
9.0,,-37.82266381,144.9464311
3.0,36.0,-37.81758479,144.950268
13.0,70.0,-37.8184009,144.9444674
12.0,,-37.82339381,144.9472696
13.0,35.0,-37.82333082,144.9473404
9.0,,-37.818275,144.9736152
,,-37.81857838,144.9440473
9.0,,-37.8146135,144.9430095
9.0,3.0,-37.82386967,144.9482751
1.0,,-37.81617874,144.9446767
3.0,14.0,-37.81125458,144.9693283
5.0,70.0,-37.81874044,144.946429
12.0,,-37.82391391,144.9471376
9.0,,-37.82238499,144.9453427
,,-37.8233409,144.9517239
9.0,,-37.81527098,144.9408535
9.0,,-37.81515805,144.9411105
3.0,,-37.82042415,144.9453253
,,-37.82399088,144.9520244
,,-37.81879559,144.9429533
9.0,,-37.81530937,144.9411833
,,-37.82386087,144.9521438
,,-37.81429032,144.9433231
13.0,70.0,-37.80501163,144.969492
13.0,70.0,-37.81945056,144.9613126
,,-37.81928717,144.9651557
9.0,,-37.7867105,144.9420688
,,-37.8235327,144.9518126
5.0,35.0,-37.81512289,144.9411823
1.0,,-37.81776804,144.9511045
,,-37.81959582,144.9651087
9.0,8.0,-37.82378339,144.9475904
1.0,,-37.82111196,144.9324708
13.0,150.0,-37.82264644,144.9699703
12.0,,-37.82362494,144.9472789
5.0,70.0,-37.81975145,144.9521905
12.0,,-37.82400166,144.9471993
3.0,36.0,-37.8175631,144.9495262
,,-37.81822698,144.9455424
1.0,18.0,-37.82449749,144.9459577
16.0,,-37.81463621,144.9425766
,,-37.82336221,144.9517337
2.0,14.0,-37.78683181,144.941825
9.0,,-37.82208274,144.9445474
12.0,,-37.82314132,144.9472016
9.0,,-37.81807545,144.9506105
,,-37.81594194,144.9392572
,,-37.81858249,144.9442204
1.0,,-37.8210579,144.9331272
12.0,,-37.82385334,144.94718
13.0,14.0,-37.81076084,144.9672161
,35.0,-37.81765009,144.9730841
12.0,,-37.82298542,144.9471543
9.0,10.0,-37.82404392,144.9439029
3.0,,-37.81828772,144.9449997
9.0,,-37.82267695,144.9464331
13.0,14.0,-37.81634116,144.9671638
1.0,50.0,-37.81723817,144.9451672
5.0,150.0,-37.81755715,144.9495888
12.0,,-37.8232366,144.9472304
13.0,14.0,-37.81635705,144.9671853
9.0,,-37.8140093,144.9441986
13.0,70.0,-37.81901303,144.9729829
5.0,70.0,-37.8151849,144.9415369
13.0,35.0,-37.82389842,144.9473859
13.0,70.0,-37.82420102,144.9441315
3.0,36.0,-37.81794117,144.950982
9.0,,-37.82277793,144.9467921
9.0,,-37.82257379,144.9457271
1.0,,-37.81556021,144.9398148
9.0,,-37.81810418,144.9734644
5.0,70.0,-37.82516237,144.9469771
9.0,8.0,-37.82390309,144.9474281
5.0,70.0,-37.81650153,144.9454351
9.0,,-37.81947812,144.9746833
1.0,18.0,-37.82408698,144.9439095
,,-37.81805562,144.9453721
1.0,20.0,-37.81300637,144.9424406
13.0,35.0,-37.8198722,144.9597475
,,-37.81804602,144.9454241
9.0,,-37.81842446,144.9737472
13.0,35.0,-37.81723475,144.9454982
9.0,,-37.81972177,144.967609
1.0,,-37.81921594,144.9469887
,,-37.81988998,144.9649738
2.0,14.0,-37.78682757,144.9418344
9.0,,-37.81934065,144.9644333
,,-37.81806969,144.9453616
,,-37.81578507,144.9394991
16.0,,-37.82313126,144.9482244
,,-37.81599366,144.9398514
1.0,,-37.81466899,144.9391507
13.0,70.0,-37.81876075,144.9462239
9.0,,-37.81908897,144.9742769
9.0,,-37.8224974,144.9453632
5.0,70.0,-37.82365918,144.9432744
9.0,,-37.8192822,144.9646844
13.0,14.0,-37.81175255,144.9678303
13.0,35.0,-37.82331972,144.9473379
9.0,,-37.81925804,144.9433135
5.0,70.0,-37.82390109,144.9435543
13.0,70.0,-37.8184511,144.944958
9.0,,-37.80246641,144.9661539
13.0,70.0,-37.82432237,144.9452446
9.0,,-37.81592161,144.939305
5.0,70.0,-37.81997797,144.9513849
12.0,,-37.82336849,144.9473338
12.0,,-37.8236361,144.9473521
5.0,70.0,-37.81800364,144.9461216
9.0,,-37.80249078,144.9630439
1.0,,-37.81743105,144.9518645
5.0,70.0,-37.81516032,144.9416324
13.0,100.0,-37.81957663,144.9610779
5.0,70.0,-37.81477667,144.9419804
,,-37.819275,144.9433208
1.0,50.0,-37.82498252,144.9471175
9.0,,-37.81958168,144.9747109
12.0,,-37.82367814,144.9472734
9.0,,-37.78697128,144.9415629
9.0,,-37.81920235,144.9434476
9.0,10.0,-37.82381859,144.9474698
5.0,70.0,-37.82469998,144.9456617
5.0,70.0,-37.81479635,144.941679
