feature,condition_rating,Latitude,Longitude
Bicycle Rails,3.12,-37.81618116569443,144.96980110865644
Bicycle Rails,3.12,-37.80963838054166,144.96091047255698
Bicycle Rails,3.12,-37.80964511488054,144.9609142628543
Bollard,4.0,-37.82288176222762,144.9715888259251
Bicycle Rails,1.17,-37.79456582475606,144.95349630310034
Bicycle Rails,4.1,-37.81008994430922,144.96254950991172
Bicycle Rails,4.1,-37.810085811562764,144.96256586664904
Bicycle Rails,4.1,-37.810063904141295,144.9626434817287
Bicycle Rails,1.1,-37.81005391176846,144.96268055900245
Litter Bin,3.43,-37.80706520493205,144.9656490949123
Bicycle Rails,2.88,-37.79440891779446,144.97534654578013
Bicycle Rails,1.17,-37.813975008349395,144.9669344483088
Bicycle Rails,1.17,-37.813976570782074,144.96692577227262
Bicycle Rails,1.17,-37.81397885577431,144.9669171900075
Bollard,3.11,-37.80730798848647,144.95811021904092
Bicycle Rails,1.17,-37.81398186920742,144.966909042135
Bicycle Rails,1.17,-37.81398414635661,144.9669000057064
Bicycle Rails,1.17,-37.81398660365504,144.96689096433494
Bollard,2.88,-37.81305590485971,144.9560503175075
Bicycle Rails,1.17,-37.81398969539846,144.96688213274578
Bicycle Rails,1.17,-37.813992052818136,144.9668725261412
Bicycle Rails,1.17,-37.813994418078934,144.96686337369857
Bicycle Rails,1.17,-37.81399776436119,144.96685362636876
Bollard,1.97,-37.806585131425244,144.91010713160156
Bicycle Rails,1.17,-37.81400059371883,144.96684525635303
Bicycle Rails,1.17,-37.814003319277305,144.9668360940235
Bicycle Rails,3.03,-37.805532140044704,144.9518629885992
Bollard,2.57,-37.82388381046183,144.93721228146558
Bicycle Rails,1.17,-37.81400585880358,144.966826596014
Bicycle Rails,2.95,-37.80330967331543,144.96327899419938
Bicycle Rails,2.95,-37.80330818082135,144.96327085759083
Bicycle Rails,2.95,-37.803307391254805,144.96326167946955
Bicycle Rails,2.95,-37.80330550900741,144.96325184990036
Bicycle Rails,2.95,-37.803304725329895,144.96324301235165
Seat,3.45,-37.805578986039926,144.958879200274
Bicycle Rails,2.95,-37.803304041544216,144.96323473994843
Bicycle Rails,2.95,-37.80330222188022,144.96322331857
Bicycle Rails,3.15,-37.803356953552694,144.96333448428157
Bicycle Rails,3.15,-37.803363963690146,144.9633333830737
Bollard,1.0,-37.80686499741761,144.95112330882398
Bicycle Rails,3.15,-37.803369965332514,144.96333128736876
Bicycle Rails,3.15,-37.80337699510413,144.96333132140137
Bicycle Rails,3.15,-37.803383989534126,144.96332931199981
Bicycle Rails,3.15,-37.803391001634886,144.96332832431503
Bicycle Rails,3.15,-37.80281262515433,144.9637086825947
Bicycle Rails,3.09,-37.80490742403325,144.96528386109858
Bollard,1.0,-37.809304938650975,144.93559340800707
Bicycle Rails,3.09,-37.80490988611651,144.96530639602682
Bicycle Rails,3.09,-37.80491178028345,144.96532735641804
Bicycle Rails,3.09,-37.80496606639951,144.96582493925524
Bicycle Rails,3.09,-37.80496596705744,144.96584527289568
Bicycle Rails,3.09,-37.804969780026745,144.96586254609
Bicycle Rails,3.13,-37.80570786694443,144.9449523868714
Bicycle Rails,3.13,-37.80570884750256,144.9449982465319
Bicycle Rails,3.13,-37.805543872442044,144.94497930868746
Bicycle Rails,3.13,-37.80554584485864,144.94503036547943
Bicycle Rails,3.14,-37.794426229945884,144.92936850142314
Bollard,1.97,-37.80659583766174,144.9101213682492
Bicycle Rails,3.03,-37.8056151295051,144.9545948247277
Bollard,1.0,-37.82135915383564,144.98346233964202
Bollard,1.0,-37.81889398183751,144.97932547092074
Bicycle Rails,3.03,-37.80561832147936,144.95461256892224
Bicycle Rails,3.03,-37.805620218886844,144.9546284179553
Bicycle Rails,3.17,-37.81345737249723,144.9661621271298
Bicycle Rails,3.17,-37.813445634429705,144.9662025477904
Bicycle Rails,3.1,-37.80971536280993,144.97062488335706
Bicycle Rails,3.1,-37.80964357710498,144.97087810504135
Bicycle Rails,1.21,-37.80714525537771,144.96424788561063
Bicycle Rails,3.09,-37.80414989711236,144.96051740211453
Bicycle Rails,3.09,-37.80415296149626,144.9605434410233
Bicycle Rails,3.09,-37.80415525379032,144.960561323473
Bicycle Rails,3.09,-37.804202326524305,144.9609430177689
Bicycle Rails,3.14,-37.7945237286765,144.9303420877023
Bollard,4.0,-37.814320220463046,144.97775512440768
Bicycle Rails,3.14,-37.79452208464475,144.9303203293202
Bicycle Rails,4.1,-37.80986195094214,144.96333635394262
Bicycle Rails,2.96,-37.79453052585331,144.9300058624537
Bicycle Rails,2.96,-37.79453985480112,144.92983934450447
Bicycle Rails,2.96,-37.794560177125824,144.92980607078553
Bicycle Rails,3.16,-37.81278991207032,144.96091736372225
Bicycle Rails,3.16,-37.812769945830205,144.96098731804216
Bollard,1.81,-37.81598805487833,144.97011538463065
