Date,Precipitation (mm/hr),Date_formatted
87936.0,0.0,1990-01-12 00:00:00
87937.0,0.0,1990-01-12 01:00:00
87938.0,0.0,1990-01-12 02:00:00
87939.0,0.0,1990-01-12 03:00:00
87940.0,0.0,1990-01-12 04:00:00
87941.0,0.0,1990-01-12 05:00:00
87942.0,0.0,1990-01-12 06:00:00
87943.0,0.0,1990-01-12 07:00:00
87944.0,0.0,1990-01-12 08:00:00
87945.0,0.0,1990-01-12 09:00:00
87946.0,0.0,1990-01-12 10:00:00
87947.0,0.5,1990-01-12 11:00:00
87948.0,0.0,1990-01-12 12:00:00
87949.0,0.0,1990-01-12 13:00:00
87950.0,0.0,1990-01-12 14:00:00
87951.0,0.0,1990-01-12 15:00:00
87952.0,0.0,1990-01-12 16:00:00
87953.0,0.0,1990-01-12 17:00:00
87954.0,0.0,1990-01-12 18:00:00
87955.0,0.0,1990-01-12 19:00:00
87956.0,0.0,1990-01-12 20:00:00
87957.0,0.0,1990-01-12 21:00:00
87958.0,0.0,1990-01-12 22:00:00
87959.0,0.0,1990-01-12 23:00:00
87960.0,0.0,1990-01-13 00:00:00
87961.0,0.0,1990-01-13 01:00:00
87962.0,0.0,1990-01-13 02:00:00
87963.0,0.0,1990-01-13 03:00:00
87964.0,0.0,1990-01-13 04:00:00
87965.0,0.0,1990-01-13 05:00:00
87966.0,0.0,1990-01-13 06:00:00
87967.0,0.0,1990-01-13 07:00:00
87968.0,0.0,1990-01-13 08:00:00
87969.0,0.0,1990-01-13 09:00:00
87970.0,0.1,1990-01-13 10:00:00
87971.0,0.0,1990-01-13 11:00:00
87972.0,0.0,1990-01-13 12:00:00
87973.0,0.0,1990-01-13 13:00:00
87974.0,0.0,1990-01-13 14:00:00
87975.0,0.0,1990-01-13 15:00:00
87976.0,0.0,1990-01-13 16:00:00
87977.0,0.0,1990-01-13 17:00:00
87978.0,0.0,1990-01-13 18:00:00
87979.0,0.0,1990-01-13 19:00:00
87980.0,0.0,1990-01-13 20:00:00
87981.0,0.0,1990-01-13 21:00:00
87982.0,0.0,1990-01-13 22:00:00
87983.0,0.0,1990-01-13 23:00:00
87984.0,0.0,1990-01-14 00:00:00
87985.0,0.0,1990-01-14 01:00:00
87986.0,0.0,1990-01-14 02:00:00
87987.0,0.0,1990-01-14 03:00:00
87988.0,0.0,1990-01-14 04:00:00
87989.0,0.0,1990-01-14 05:00:00
87990.0,0.0,1990-01-14 06:00:00
87991.0,0.2,1990-01-14 07:00:00
87992.0,0.0,1990-01-14 08:00:00
87993.0,0.0,1990-01-14 09:00:00
87994.0,0.0,1990-01-14 10:00:00
87995.0,0.0,1990-01-14 11:00:00
87996.0,0.0,1990-01-14 12:00:00
87997.0,0.0,1990-01-14 13:00:00
87998.0,0.0,1990-01-14 14:00:00
87999.0,0.0,1990-01-14 15:00:00
