,Station,From,To
0,Trawden_Auto,1998-06-25 09:00:00,2018-06-29 13:00:00
1,Kitcliffe_LOG,1989-11-01 08:00:00,2018-06-21 01:00:00
2,Blackstone_Edge_Reservoir_2,2001-02-01 09:00:00,2018-06-21 05:00:00
3,Greenfield_S.Wks_LOG,1990-12-01 11:00:00,2018-06-21 01:00:00
4,Broadhead_Noddle_LOG,1990-03-07 09:00:00,2018-06-21 01:00:00
5,Woodhead_Reservoir_TEL,1990-10-31 14:00:00,2018-06-24 14:00:00
6,nutwell_wrw,2001-03-06 22:00:00,2012-09-25 20:00:00
7,south_emsall_logger,1985-03-14 11:00:00,2018-06-16 16:00:00
8,wombwell_stw_logger,1997-07-17 09:00:00,2018-06-18 22:00:00
9,cannon_hall_logger,2002-05-23 12:00:00,2018-06-18 22:00:00
10,langsett_logger,2002-10-02 11:00:00,2018-06-25 09:00:00
11,wakefield_logger,1985-03-19 14:00:00,2018-06-18 22:00:00
12,heckmondwike_logger,1985-06-07 11:00:00,2018-06-18 22:00:00
13,ludhill_farm,2002-06-06 09:00:00,2018-06-20 11:00:00
14,brownhills_logger,2003-09-03 14:00:00,2018-06-22 00:00:00
15,butterley_tbr,2003-01-22 14:00:00,2018-06-21 01:00:00
16,ogden_tbr,2002-11-21 11:00:00,2018-06-21 01:00:00
17,ringstone_logger,1987-03-25 10:00:00,2018-06-21 01:00:00
18,great_walden_edge_no.2_tbr,2004-12-22 10:00:00,2018-06-21 03:00:00
19,gorple_logger,1987-01-21 13:00:00,2018-06-25 09:00:00
20,walshaw_dean_lodge_tbr,2004-07-28 11:00:00,2018-06-25 09:00:00
21,gorpley_tbr,2004-07-07 00:00:00,2018-06-25 09:00:00
22,knostrop_logger,1986-08-13 07:00:00,2018-06-18 22:00:00
23,headingley_logger,1996-01-25 10:00:00,2018-06-20 09:00:00
24,farnley_hall_logger,1987-12-10 10:00:00,2018-06-18 22:00:00
25,thornton_res_logger,2000-12-08 10:00:00,2018-06-25 09:00:00
26,lower_laithe_logger,2000-02-18 09:00:00,2018-06-25 09:00:00
27,silsden_res_logger,2001-12-04 10:00:00,2018-06-21 00:00:00
28,skipton_council_logg,2002-05-03 12:00:00,2012-04-05 07:00:00
29,embsay_logger,1986-07-18 09:00:00,2018-06-25 09:00:00
30,proctor_heights,2006-01-01 00:00:00,2018-06-21 00:00:00
31,elvington_w_works_tbr,2004-11-01 14:00:00,2018-06-16 16:00:00
32,bramham_logger,1987-02-18 11:00:00,2018-06-20 11:00:00
33,eccup_logger,1986-08-13 08:00:00,2018-06-21 10:00:00
34,thruscross_logger,2000-02-02 14:00:00,2018-06-25 09:00:00
35,otley_s.wks_logger,1985-07-31 14:00:00,2018-06-20 08:00:00
36,grimwith_reservoir,2000-02-03 10:00:00,2018-06-25 09:00:00
37,york_acomb_landing_logger,1987-07-21 11:00:00,2018-06-16 16:00:00
38,scargill_res_logger,2000-12-14 13:00:00,2018-06-20 09:00:00
39,lower_dunsforth_logg,1985-06-03 00:00:00,2018-06-20 08:00:00
40,roecliffe_logger,2004-11-01 11:00:00,2018-06-17 22:00:00
